                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.63181,                  2.642,                  1.613,                 1.1873,                0.95554,                0.75404,                0.93968,                0.80113,                0.95554,                0.75404,                0.93968,                0.80412,                0.56621,                 1.1015,                 2.4939,                 1.0674,                0.00056,                0.00056,                0.00056
                      2,                0.45437,                0.71222,                0.74538,                 1.0498,                0.84188,                0.93415,                0.96769,                0.85088,                0.89388,                0.88677,                0.95661,                0.74091,                0.56247,                 3.4617,                 2.2178,                 1.1582,              0.0011287,              0.0011287,              0.0011287
                      3,                0.47571,                 0.6907,                0.67481,                  1.045,                0.95111,                0.94737,                0.98746,                0.66565,                0.76511,                0.75439,                0.68544,                0.26024,                0.93225,                 7.4161,                 2.3125,                 1.6671,              0.0016859,              0.0016859,              0.0016859
                      4,                0.54181,                0.74557,                0.67177,                 1.0902,                0.91815,                0.91228,                0.97486,                0.66947,                0.91815,                0.91228,                 0.9728,                0.63028,                 1.1939,                  1.887,                 1.5044,                 1.5082,              0.0019406,              0.0019406,              0.0019406
                      5,                0.49084,                0.67152,                 0.5767,                 1.0564,                0.71367,                0.78711,                0.79369,                0.57977,                0.63438,                0.73684,                0.74381,                0.49049,                0.94231,                 1.7634,                 1.4845,                 1.5872,              0.0019406,              0.0019406,              0.0019406
                      6,                0.46271,                0.61791,                0.54134,                 1.0453,                0.85127,                0.90382,                0.95621,                0.84311,                0.85127,                0.90382,                0.95003,                0.74428,                0.65778,                 1.6254,                 1.0805,                 1.1532,              0.0019208,              0.0019208,              0.0019208
                      7,                0.45281,                0.62447,                0.50411,                 1.0353,                0.99827,                      1,                  0.995,                0.97206,                0.99827,                      1,                  0.995,                0.96503,                0.49395,                0.51635,                0.71517,                 1.0128,               0.001901,               0.001901,               0.001901
                      8,                0.44207,                0.69473,                0.47634,                 1.0308,                0.96006,                      1,                0.98309,                0.95131,                0.96006,                      1,                0.98309,                0.92858,                0.42929,                0.50994,                0.70949,                0.90002,              0.0018812,              0.0018812,              0.0018812
                      9,                0.41199,                0.63514,                0.44592,                0.99807,                0.99386,                      1,                  0.995,                0.90252,                0.99386,                      1,                  0.995,                 0.9303,                0.52682,                0.61937,                0.72262,                 1.0061,              0.0018614,              0.0018614,              0.0018614
                     10,                0.40202,                 0.6222,                0.41825,                 1.0037,                0.99846,                      1,                  0.995,                0.98484,                0.99846,                      1,                  0.995,                 0.9657,                0.30487,                0.43389,                0.44745,                0.73672,              0.0018416,              0.0018416,              0.0018416
